,Abbrev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2005-2015
Alabama,AL,7252,8658,7790,8042,8429,9006,8601,8616,8982,8097,8138,12%
Alaska,AK,973,1044,1544,1732,1939,2089,1777,1882,2303,2210,,-100%
Arizona,AZ,6108,6463,6807,7534,8209,7993,7708,7460,7636,7502,7379,21%
Arkansas,AR,16531,18405,19388,19908,21166,21106,22704,23372,21709,21743,23093,40%
California,CA,111743,118592,123764,120753,106035,105133,111792,95925,89549,87104,86053,-23%
Colorado,CO,8196,9551,11086,11654,11655,11014,10775,11458,10846,10067,10269,25%
Connecticut,CT,2571,2567,2177,2328,2873,2894,2561,2793,2640,2564,2939,14%
Delaware,DE,600,544,535,551,519,560,553,601,657,676,425,-29%
Florida,FL,4785,4790,4654,4528,4323,4093,4203,4538,4683,4519,4611,-4%
Georgia,GA,22851,22958,23111,23448,24029,25091,25463,24761,26611,25547,24130,6%
Hawaii,HI,2119,2316,2110,1904,1831,1850,1791,1632,1738,1540,1540,-27%
Idaho,ID,2482,2732,3114,3361,3447,3957,4512,3848,3851,4217,4875,96%
Illinois,IL,34576,34917,35086,33683,33162,26009,25465,27456,29586,29644,29146,-16%
Indiana,IN,7295,7950,10362,10637,10527,10872,10154,10153,10340,9481,9434,29%
Iowa,IA,3560,3578,3546,3159,3265,3197,4446,5151,5595,5769,5918,66%
Kansas,KS,4666,4886,4842,4958,5010,5063,5052,5126,4065,4051,4331,-7%
Kentucky,KY,9562,11867,12741,12277,12537,14628,14223,14419,14922,16729,16563,73%
Louisiana,LA,24072,24663,24085,24636,25683,26202,27640,28946,28744,29619,31187,30%
Maine,ME,32,31,32,31,31,32,21,21,21,21,21,-34%
Maryland,MD,14271,14351,13856,13220,13742,13195,13237,13633,5623,11537,10887,-24%
Massachusetts,MA,3579,3223,3209,3185,3365,3260,2303,2106,2166,1949,1978,-45%
Michigan,MI,19978,18486,21131,22523,24374,24486,22598,19113,18439,18413,17909,-10%
Minnesota,MN,3966,4431,4744,5081,5435,5807,5840,6006,5997,6642,6808,72%
Mississippi,MS,1970,1899,2015,2922,5426,6434,7127,6804,6901,9883,8424,328%
Missouri,MO,18374,19063,19849,20683,19673,19421,21138,20672,19401,18495,17694,-4%
Montana,MT,835,844,966,885,1007,986,958,950,1021,1094,1092,31%
Nebraska,NE,667,797,800,846,823,941,1149,1383,1246,1067,1043,56%
Nevada,NV,3965,3824,3653,3908,4186,4964,5332,5379,5522,5927,5507,39%
New Hampshire,NH,1402,1621,1653,1661,1820,1973,2204,2167,2256,2385,2451,75%
New Jersey,NJ,13874,14405,15043,15849,15356,15563,15178,14987,14918,14889,15180,9%
New Mexico,NM,2866,2922,3527,3724,3157,3146,3135,5078,2010,2255,2888,1%
New York,NY,53533,53001,53669,52225,49950,48542,47243,46222,45039,44889,44562,-17%
North Carolina,NC,3101,3236,3311,3409,3544,3621,3744,4359,7171,10025,11744,279%
North Dakota,ND,287,370,342,384,357,427,436,429,561,584,644,124%
Ohio,OH,19512,17603,17575,19119,14575,12076,12344,14649,16797,17321,18284,-6%
Oklahoma,OK,4017,3072,-,3073,2970,2627,2459,2310,2554,2560,2116,-47%
Oregon,OR,21499,22396,22658,22195,22394,22491,22646,22872,23246,23964,,-100%
Pennsylvania,PA,75678,76386,78107,72951,75112,95870,94581,101351,103802,104629,112351,48%
Rhode Island,RI,338,364,462,515,585,556,543,498,459,468,433,28%
South Carolina,SC,3155,2735,2433,1947,6419,6412,6408,6116,5556,5225,5021,59%
South Dakota,SD,2444,2767,2812,2720,2748,2843,2764,2761,2595,2611,2652,9%
Tennessee,TN,8721,9702,10496,10578,11627,12157,12533,13138,13657,13498,13093,50%
Texas,TX,101916,100053,101748,102921,104943,104763,106518,112288,111302,111412,111892,10%
Utah,UT,3277,3374,3597,3601,3204,2941,2940,2993,3283,3312,3506,7%
Vermont,VT,1059,965,936,1080,1087,1032,1069,1037,1095,1107,1090,3%
Virginia,VA,4499,3978,6850,4471,4605,2624,2244,1983,1800,1732,1576,-65%
Washington,WA,11568,12611,13017,11768,6563,6956,8422,8895,15908,9880,11198,-3%
West Virginia,WV,1416,1523,1830,2005,1889,1796,2043,2052,2553,2749,3123,121%
Wisconsin,WI,15505,16206,16986,18105,19334,19572,20143,20023,20251,20010,19453,25%
Wyoming,WY,609,674,706,727,614,682,639,762,776,715,812,33%
