State,Abbrev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2005-2015
Alabama,AL,27003,27526,28605,29694,30723,30739,31271,31437,31354,30766,29762,10%
Alaska,AK,2781,3116,3072,2966,2508,2775,2894,2974,2682,2075,2261,-19%
Arizona,AZ,31411,33557,35490,37188,38529,38423,38370,38402,39062,40175,40952,30%
Arkansas,AR,13383,13713,14310,14660,15144,16147,16037,14615,17159,17819,17656,32%
California,CA,168982,173942,172856,172583,170131,164213,149025,134211,135981,135711,129205,-24%
Colorado,CO,21456,22481,22841,23274,22795,22815,21978,20462,20371,20646,20041,-7%
Connecticut,CT,13121,13746,14397,14271,13466,13308,12549,11961,12162,11735,11220,-14%
Delaware,DE,3972,4195,4201,4067,3971,3961,4003,4129,4112,4141,4188,5%
Florida,FL,89766,92874,98219,102388,103915,104306,103055,101930,103028,102870,101424,13%
Georgia,GA,48741,52781,54232,52705,55516,54685,53955,53990,53478,52485,51700,6%
Hawaii,HI,4422,4373,4367,4304,4119,3939,3910,3819,3618,3663,3769,-15%
Idaho,ID,6818,7124,7319,7290,7400,7431,7739,7985,8242,8039,7255,6%
Illinois,IL,44919,45106,45215,45474,45161,48418,48427,49348,48653,48278,46240,3%
Indiana,IN,24416,26055,27114,28301,28788,28012,28890,28822,29905,29261,27334,12%
Iowa,IA,8737,8838,8732,8766,8813,9388,9057,8686,8654,8798,8816,1%
Kansas,KS,9068,8816,8696,8539,8641,9051,9327,9398,9506,9563,9578,6%
Kentucky,KY,19215,19514,21823,21059,20672,19937,20952,21466,20330,20969,21697,13%
Louisiana,LA,36083,36376,37341,37804,39780,39444,39709,40170,39298,38022,36347,1%
Maine,ME,1905,1997,1950,1985,1980,1942,1952,1932,1972,2030,1754,-8%
Maryland,MD,22143,22316,22780,22749,21868,22275,22252,21281,20988,20733,20408,-8%
Massachusetts,MA,9081,9472,9872,10166,10070,10027,10316,9999,9643,9486,8954,-1%
Michigan,MI,49546,51577,50233,48738,45478,44113,42904,43594,43704,43359,42628,-14%
Minnesota,MN,9281,9108,9468,9910,9986,9796,9800,9938,10289,10637,10798,16%
Mississippi,MS,19335,19219,21502,21698,20768,20366,20585,21426,20742,17876,18236,-6%
Missouri,MO,30803,30146,29844,30175,30554,30614,30829,31244,31537,31938,32328,5%
Montana,MT,3509,3563,3431,3517,3605,3716,3678,3609,3642,3699,3685,5%
Nebraska,NE,4330,4204,4329,4424,4392,4498,4511,4594,4929,5347,5312,23%
Nevada,NV,11644,12691,13245,12743,12482,12556,12639,12761,12915,12415,12944,11%
New Hampshire,NH,2520,2737,2930,2702,2731,2761,2614,2790,2848,2915,2897,15%
New Jersey,NJ,27359,27371,26827,25953,25382,25007,23834,23225,22452,21590,20489,-25%
New Mexico,NM,6292,6361,6225,6315,6320,6614,6855,6574,6687,6860,6994,11%
New York,NY,62485,62974,62174,59959,58455,56461,55262,54073,53428,52399,51606,-17%
North Carolina,NC,31522,32219,33016,34229,34863,35436,35102,34983,35181,35769,35523,13%
North Dakota,ND,1327,1363,1416,1452,1486,1487,1423,1512,1507,1603,1783,34%
Ohio,OH,45854,49166,50731,51686,51606,51712,50964,50876,51729,51519,52233,14%
Oklahoma,OK,24414,23889,24197,24210,24396,24514,24024,24830,27173,27261,28114,15%
Oregon,OR,13390,13667,13918,14131,14365,14831,14459,14801,15180,15060,15230,14%
Pennsylvania,PA,42345,43998,45446,49047,51316,51075,51390,50918,51211,50423,49578,17%
Rhode Island,RI,2025,2149,2481,2522,2220,2086,2065,1999,2039,1880,2156,6%
South Carolina,SC,22464,22861,23314,23456,23486,22822,22233,21725,21443,20830,20392,-9%
South Dakota,SD,3454,3350,3306,3333,3430,3431,3530,3644,3672,3605,3558,3%
Tennessee,TN,26369,25745,26267,27228,26965,27451,28479,28411,28521,28769,28172,7%
Texas,TX,159255,162193,161695,163016,162186,164652,163552,157900,160295,158589,157251,-1%
Utah,UT,6275,6340,6421,6426,6524,6795,6877,6960,7072,7027,6488,3%
Vermont,VT,1542,1634,1618,1618,1724,1649,1598,1516,1575,1508,1290,-16%
Virginia,VA,35344,36688,37984,38216,38059,37410,38130,37044,36982,37544,38403,9%
Washington,WA,17320,17483,17757,17926,18199,18212,17808,17254,17947,18052,18205,5%
West Virginia,WV,5292,5719,6049,6019,6313,6642,6803,7027,6812,6881,7118,35%
Wisconsin,WI,21927,22618,22307,22443,22332,21973,21998,21407,21285,21404,21763,-1%
Wyoming,WY,2047,2114,2084,2084,2075,2112,2183,2204,2310,2383,2424,18%
