State,Abbrev,Prison (FY2015),Probation/Parole (FY2017)
Alabama,AL,466488094,52000000
Alaska,AK,316323123,
Arizona,AZ,1069998638,157000000
Arkansas,AR,371968841,98000000
California,CA,8596902049,448000000
Colorado,CO,709581867,162000000
Connecticut,CT,1016118399,153000000
Delaware,DE,266293532,30000000
Florida,FL,1917735951,206000000
Georgia,GA,921844210,170000000
Hawaii,HI,178406163,4000000
Idaho,ID,180115744,35000000
Illinois,IL,1595647075,54000000
Indiana,IN,517678909,9000000
Iowa,IA,310634762,100000000
Kansas,KS,237682123,34000000
Kentucky,KY,351336792,56000000
Louisiana,LA,622350856,67000000
Maine,ME,,10000000
Maryland,MD,1071682231,116000000
Massachusetts,MA,594295857,136000000
Michigan,MI,1553213339,262000000
Minnesota,MN,403729705,
Mississippi,MS,,34000000
Missouri,MO,716287058,92000000
Montana,MT,95125223,70000000
Nebraska,NE,,140000000
Nevada,NV,243935441,49000000
New Hampshire,NH,,9000000
New Jersey,NJ,1354767292,97000000
New Mexico,NM,263976999,33000000
New York,NY,3688356319,186000000
North Carolina,NC,1118669204,206000000
North Dakota,ND,65467993,23000000
Ohio,OH,1337453060,73000000
Oklahoma,OK,451501686,27000000
Oregon,OR,639974399,137000000
Pennsylvania,PA,2151980000,215000000
Rhode Island,RI,186349078,14000000
South Carolina,SC,436615085,36000000
South Dakota,SD,73122593,15000000
Tennessee,TN,723680760,74000000
Texas,TX,3283213997,247000000
Utah,UT,152778962,73000000
Vermont,VT,116727820,25000000
Virginia,VA,824010613,97000000
Washington,WA,632557822,185000000
West Virginia,WV,188966523,37000000
Wisconsin,WI,867991403,213000000
Wyoming,WY,,42000000
