State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,,,,,,,,,,
Alaska,,,,,,,,,,
Arizona,,,,,,,,,,
Arkansas,,,,,,,,,,
California,48.5,49.2,48.7,51.5,49.6,49.1,49.5,51.3,54.3,46.1
Colorado,,,,,,,,,,
Connecticut,55.8,53.7,,,51.0,,,,,
Delaware,,,,,71.7,71.4,72.6,74.5,68.3,
Florida,,,,,,,,,,
Georgia,27.7,28.6,27.8,27.3,26.5,26.8,26.7,26.8,26.6,26.2
Hawaii,,,,,,,,,,
Idaho,,,,,,,,,,
Illinois,,,,,,,,,,
Indiana,,,,,,,,,,
Iowa,,,,,,,,,,
Kansas,,,,,,,,,,
Kentucky,,,,,,,,,,
Louisiana,,,,,,,,,,
Maine,,,,,,,,,,
Maryland,,,,,,,,,,
Massachusetts,,,,,,,,,,
Michigan,,,,,,,,,,
Minnesota,,,37.0,35.0,36.0,35.0,34.0,36.0,36.0,
Mississippi,,,,,,,,,,
Missouri,,,16.1,16.0,16.7,17.7,17.9,18.6,19.4,19.0
Montana,,,,,,,,,,
Nebraska,,,,,,,,,,
Nevada,,,,,,,,,,
New Hampshire,,,,,,,,,,
New Jersey,,,,45.0,42.0,39.0,42.0,40.0,40.1,
New Mexico,,,,,,,,,,
New York,,,,,,,,,,
North Carolina,,,,,,,,26.6,,26.0
North Dakota,,,,,,,,,,
Ohio,,,,,,,,,,
Oklahoma,,,,,,,,,,
Oregon,43.4,41.7,40.0,39.7,39.4,37.1,38.5,39.1,40.3,41.4
Pennsylvania,,,,,,,,,,
Rhode Island,,,,,,,,,,
South Carolina,,,,,,,,,,
South Dakota,,,,,,,,,,
Tennessee,,,,,,,,,,
Texas,,,,,,,,36.4,36.8,36.1
Utah,,,,,,,,,,
Vermont,,,,,,,,,,
Virginia,,,,43.5,42.3,43.2,45.0,48.0,,
Washington,,,,,,,,,,
West Virginia,,,,,,,,,,
Wisconsin,36.1,34.1,33.7,33.2,31.0,30.9,32.3,31.9,32.6,
Wyoming,,,,,,,,,,
