State,Abbrev,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,28.8,,,,34.0,32.6,32.1,31.0,30.9,31.9
Alaska,AK,,,,66.0,,,63.5,63.2,,
Arizona,AZ,40.9,42.1,42.0,40.0,37.6,37.2,36.5,,,
Arkansas,AR,44.4,41.4,37.4,40.3,44.9,41.6,43.2,48.2,51.8,
California,CA,65.6,66.8,67.5,65.1,63.7,61.0,54.3,44.6,25.0,22.2
Colorado,CO,,57.1,53.2,51.8,51.8,49.9,48.8,46.1,48.6,50.0
Connecticut,CT,56.5,56.5,,,54.0,,,,,
Delaware,DE,,,,,67.6,67.7,68.0,69.7,64.9,
Florida,FL,33.7,33.3,32.5,30.5,27.6,26.3,25.7,,,
Georgia,GA,,,,,,,,,,
Hawaii,HI,,,,,,,,,,
Idaho,ID,52.5,51.4,51.6,53.8,52.7,55.5,51.7,52.4,50.6,54.3
Illinois,IL,,,,,47.0,47.1,51.7,48.3,46.9,43.9
Indiana,IN,37.8,37.4,38.4,39.3,37.9,36.1,35.8,37.6,38.2,37.0
Iowa,IA,33.9,35.6,35.5,31.8,31.5,30.7,30.3,29.8,31.9,34.2
Kansas,KS,,38.6,34.2,32.9,33.8,33.1,34.8,35.1,35.9,
Kentucky,KY,,,,32.2,29.6,30.7,34.3,35.3,37.2,40.9
Louisiana,LA,38.7,37.8,36.3,36.7,36.8,35.7,35.4,36.4,36.3,35.1
Maine,ME,,,,24.5,25.3,25.7,22.4,,,
Maryland,MD,48.5,47.8,47.4,47.8,43.3,40.5,,,,
Massachusetts,MA,43.0,44.0,41.0,43.0,39.0,41.0,39.0,35.0,32.0,
Michigan,MI,40.8,40.6,36.5,33.2,31.5,30.6,29.0,30.3,31.0,29.8
Minnesota,MN,,,26.0,25.0,26.0,25.0,25.0,26.0,25.0,
Mississippi,MS,,,,,,,,,,31.4
Missouri,MO,,,47.9,44.5,43.9,41.9,41.9,41.1,41.8,42.5
Montana,MT,,,,,,,35.4,37.1,,42.2
Nebraska,NE,,,,,25.8,26.0,27.7,27.5,,
Nevada,NV,,,,,,26.9,29.0,29.1,30.2,29.2
New Hampshire,NH,,,49.1,47.1,43.6,43.1,41.4,46.7,44.1,47.1
New Jersey,NJ,,,,37.0,35.0,32.0,32.0,31.0,31.3,
New Mexico,NM,,,,42.9,43.5,45.2,44.4,46.2,,
New York,NY,39.9,41.6,42.2,41.3,39.8,40.9,41.5,42.2,42.6,
North Carolina,NC,,,,,,,,21.2,,21.0
North Dakota,ND,39.6,40.7,39.4,39.8,35.0,37.5,38.8,39.2,,
Ohio,OH,,38.4,36.4,34.0,31.2,28.7,27.1,27.5,29.3,
Oklahoma,OK,,,,,23.0,,21.2,,,
Oregon,OR,18.2,16.6,15.6,15.7,15.2,14.2,14.9,16.5,16.6,16.9
Pennsylvania,PA,48.0,49.3,46.0,43.9,43.0,38.9,40.7,40.4,43.8,43.7
Rhode Island,RI,54.0,56.0,55.0,52.0,49.0,48.0,49.0,52.0,52.0,50.0
South Carolina,SC,,,,,,26.6,24.8,23.4,22.4,23.1
South Dakota,SD,45.4,44.8,44.1,46.0,44.9,43.1,43.8,42.5,43.7,40.6
Tennessee,TN,45.8,46.4,,49.1,48.3,49.1,49.2,48.6,47.1,
Texas,TX,,27.2,25.3,23.9,22.4,22.3,22.3,21.4,21.3,21.0
Utah,UT,63.6,66.0,66.4,64.5,64.9,62.2,65.2,63.4,64.2,63.6
Vermont,VT,43.4,43.9,45.0,40.8,43.9,43.3,44.0,45.0,,
Virginia,VA,,,,26.1,23.4,22.8,22.8,23.0,23.4,
Washington,WA,34.3,32.2,31.2,28.7,27.9,27.8,,,,
West Virginia,WV,26.8,26.5,30.0,30.0,28.5,26.3,28.3,26.7,26.8,25.1
Wisconsin,WI,,47.1,,,,,37.1,,,37.5
Wyoming,WY,,,,,,,,25.9,29.9,30.5
