State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,,,,,,,,,,
Alaska,,,,,,,,,,
Arizona,,,,,,,,,,
Arkansas,,,,,,,,,,
California,,,,,,,,,,
Colorado,,,,,,,,,,
Connecticut,,,,,,,,,,
Delaware,,,,,,,,,,
Florida,,,,,,,,,,
Georgia,,,,,,,,,,
Hawaii,,51.6,51.3,48.2,48.5,48.9,52.3,50.9,47.4,45.5
Idaho,,,,,,,,,,
Illinois,,,,,,,,,,
Indiana,,,,,,,,,,
Iowa,,,,,,,,,,
Kansas,,,,,,,,,,
Kentucky,,,,,,,,,,
Louisiana,,,,,,,,,,
Maine,,,,,,,,,,
Maryland,,,,,,,,,,
Massachusetts,,,,,,,,,,
Michigan,,,,,,,,,,
Minnesota,,,,,,,,,,
Mississippi,,,,,,,,,,
Missouri,,,,,,,,,,
Montana,,,,,,,,,,
Nebraska,,,,,,,,,,
Nevada,,,,,,,,,,
New Hampshire,,,,,,,,,,
New Jersey,,,,,,,,,,
New Mexico,,,,,,,,,,
New York,,25.7,25.1,24.5,23.8,24.1,23.6,23.2,23.8,
North Carolina,28.0,,28.0,,,35.0,,37.0,,38.0
North Dakota,,,,,,,,,,
Ohio,,,,,,,,,,
Oklahoma,,,,,,,,,,
Oregon,48.2,47.7,46.5,43.8,42.1,42.9,45.4,46.2,46.6,49.9
Pennsylvania,,,,,,,,,,
Rhode Island,,,,,,,,,,
South Carolina,,,,,,,,,,
South Dakota,,,,,,,,,,
Tennessee,,,,,,,,,,
Texas,,,,,,,,35.1,35.8,35.9
Utah,,,,,,,,,,
Vermont,,,,,,,,,,
Virginia,,,,,,,,,,
Washington,,,,,,,,,,
West Virginia,,,,,,,,,,
Wisconsin,,,,,,,,,,
Wyoming,,,,,,,,,,
