State,Abbrev,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,,,,,,,,,,
Alaska,AK,,,,,,,,,,
Arizona,AZ,,,,,,,,,,
Arkansas,AR,,,,,,,,,,
California,CA,,,,,,,,,,
Colorado,CO,,,,,,,,,,
Connecticut,CT,,,,,,,,,,
Delaware,DE,,,,,,,,,,
Florida,FL,,,,,,,,,,
Georgia,GA,22.9,23.9,23.4,22.8,22.5,22.4,24.7,22.5,22.4,22.5
Hawaii,HI,,,,,,,,,,
Idaho,ID,,,,,,,,,,
Illinois,IL,,,,,,,,,,
Indiana,IN,,,,,,,,,,
Iowa,IA,,,,,,,,,,
Kansas,KS,,,,,,,,,,
Kentucky,KY,,,,,,,,,,
Louisiana,LA,,,,,,,,,,
Maine,ME,,,,,,,,,,
Maryland,MD,,,,,,,,,,
Massachusetts,MA,,,,,,,,,,
Michigan,MI,,,,,,,,,,
Minnesota,MN,,,,,,,,,,
Mississippi,MS,,,,,,,,,,
Missouri,MO,,,,14.5,14.0,14.6,15.1,16.0,15.8,15.4
Montana,MT,,,,,,,,,,
Nebraska,NE,,,,,,,,,,
Nevada,NV,,,,,,,,,,
New Hampshire,NH,,,,,,,,,,
New Jersey,NJ,,,,,,,,,,
New Mexico,NM,,,,,,,,,,
New York,NY,,,,,,,,,,
North Carolina,NC,,,,,,,,18.6,,19.0
North Dakota,ND,,,,,,,,,,
Ohio,OH,,,,,,,,,,
Oklahoma,OK,,,,,,,,,,
Oregon,OR,43.7,43.5,41.6,39.1,37.0,36.9,38.5,39.7,40.1,42.8
Pennsylvania,PA,,,,,,,,,,
Rhode Island,RI,,,,,,,,,,
South Carolina,SC,,,,,,,,,,
South Dakota,SD,,,,,,,,,,
Tennessee,TN,,,,,,,,,,
Texas,TX,,,,,,,,22.8,23.4,23.6
Utah,UT,,,,,,,,,,
Vermont,VT,,,,,,,,,,
Virginia,VA,,,,,,,,,,
Washington,WA,,,,,,,,,,
West Virginia,WV,,,,,,,,,,
Wisconsin,WI,,,,,,,,,,
Wyoming,WY,,,,,,,,,,
